,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,if_anomaly
5998,00180048,701256,,0,,,,F,,215,215.0,Z002,Y3,,,1000,E13,2000,,5300017606.0,0.0,1.0,42,100300000,MM,0
9772,28283800UB,704926,5500001869.0,20,42.0,42.0,42.0,F,30.0,723,723.0,Z008,Z3,,,1,,2100,,5300074774.0,3.0,1.0,42,10403000,ST,0
1953,00180074,701256,,0,,,,F,,215,215.0,Z002,Y3,1280000.0,3361.0,1000,E13,2000,,5300000640.0,0.0,1.0,42,100300000,MM,0
6359,28286600UB,704926,5500001870.0,20,42.0,42.0,42.0,F,30.0,723,723.0,Z008,Z3,,,1,,2100,,5300083667.0,3.0,1.0,42,10403000,ST,0
6129,35184200UB,704926,4600012419.0,20,42.0,,,F,30.0,723,723.0,Z008,Z3,,,1,,2000,,5300108981.0,3.0,1.0,42,10402000,ST,0
3622,24423200UB,700119,,0,,,,F,30.0,228,228.0,Z008,Y9,,,1,E15,2000,,5300120280.0,3.0,1.0,42,10403000,ST,0
3317,23485101,701256,,0,,,,F,,215,215.0,Z002,Y3,60.0,6297.0,1,E13,3000,,5300032766.0,0.0,1.0,42,100100000,ST,0
4151,34685900,715408,4600012134.0,50,56.0,,,F,30.0,223,223.0,Z004,TB,30.0,1182702.0,1,,2000,,5300436123.0,3.0,1.0,56,10403000,ST,0
5078,00400977,702533,,0,,,,F,,206,206.0,Z002,Z7,,,1000,,2000,,5300019945.0,0.0,1.0,14,010301000,MM,0
6191,00360060,701806,5500007821.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V4,1680.0,4815.0,100,E98,3000,,5300174146.0,0.0,2.0,13,140100000,ST,0
3182,21262603,701256,,0,,,,F,,215,215.0,Z002,Y3,,,1,E13,2000,,5300036591.0,0.0,1.0,49,100100000,ST,0
2220,34669500,715408,4600012132.0,70,56.0,,,F,30.0,223,223.0,Z004,TB,,,1,,2000,,5300436667.0,3.0,1.0,56,10403000,ST,0
2485,00370614,701806,5500003968.0,10,4.0,4.0,60.0,F,,708,708.0,Z008,V5,56150.0,39877.0,100,E98,2100,,5300374713.0,0.0,2.0,4,140300000,ST,0
3808,00120693,705086,,0,,,,F,,708,708.0,Z010,Y9,100.0,17402.0,1,E15,2100,,5300359693.0,0.0,1.0,42,070400000,ST,0
1604,35140100,715408,4600012454.0,10,42.0,,,F,30.0,223,223.0,Z004,TB,20.0,1159298.0,1,,2000,,5300436249.0,3.0,1.0,56,10403000,ST,0
9314,00100055,708551,5500003727.0,10,14.0,14.0,60.0,F,,708,708.0,Z010,Y5,53370.0,654402.0,1,E14,2000,,5300149266.0,0.0,1.0,60,70300000,ST,0
6355,00360237,701806,5500006835.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V4,6050.0,4709.0,100,E98,3000,,5300174114.0,0.0,2.0,13,140100000,ST,0
5241,00370041,701806,5500006865.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V4,22140.0,23601.0,100,E98,3000,,5300174062.0,0.0,2.0,13,140100000,ST,0
5011,34638400,701318,5500000007.0,20,12.0,12.0,42.0,F,30.0,702,702.0,Z001,Y9,20.0,436232.0,1,E13,2100,,5300067187.0,3.0,1.0,42,10403000,ST,0
1625,00120784,705086,,0,,,,F,,708,708.0,Z001,Y9,,,1,E12,2700,,5300369940.0,0.0,1.0,42,070400000,ST,0
7203,21301100UB,704926,,0,,,,F,30.0,223,223.0,Z008,Z3,,,1,,2000,,5300140134.0,3.0,1.0,42,10403000,ST,0
4521,60034401,702399,,0,,,,F,30.0,228,228.0,Z001,Y4,,,1,E14,2000,,5300387694.0,3.0,1.0,70,10403000,ST,0
2205,24453200UB,700119,,0,,,,F,30.0,228,228.0,Z001,Y2,,,1,E15,2000,,5300137871.0,3.0,1.0,42,10403000,ST,0
8730,24947800UB,700119,,0,,,,F,30.0,228,228.0,Z001,Y2,,,1,E15,2000,,5300195575.0,3.0,1.0,42,10403000,ST,0
2879,21461050UB,700119,,0,,,,F,30.0,228,228.0,Z001,Y2,,,1,E15,2100,,5300191373.0,3.0,1.0,42,10403000,ST,0
7776,28300400UB,700119,,0,,,,F,30.0,228,228.0,Z001,Y2,,,1,E15,2100,,5300177476.0,3.0,1.0,42,10403000,ST,0
6605,34885800UB,702399,,0,,,,F,30.0,228,228.0,Z001,Y4,,,1,E14,2000,,5300137499.0,3.0,1.0,42,10403000,ST,0
6989,31070400UB,702399,,0,,,,F,30.0,228,228.0,Z001,Y4,,,1,E14,2000,,5300071892.0,3.0,1.0,42,10403000,ST,0
5809,28184501,701806,5500002064.0,10,4.0,4.0,60.0,F,,708,708.0,Z008,V5,760.0,254913.0,100,E98,2100,,5300186473.0,0.0,2.0,4,60200000,ST,0
4096,33841300UB,704926,,0,,,,F,30.0,223,223.0,Z002,Z1,,,1,,2100,,5300091534.0,3.0,1.0,42,10403000,ST,0
6075,60073776,700119,,0,,,,F,30.0,228,228.0,Z001,Y2,20.0,32814.0,1,E15,2000,,5300464097.0,0.0,1.0,42,010401000,ST,0
5677,34490400UB,709741,5500000891.0,20,42.0,42.0,42.0,F,30.0,713,713.0,Z008,V9,70.0,1188474.0,1,E18,2100,,5300183961.0,3.0,1.0,42,10403000,ST,0
7363,21291300,715408,4600011440.0,20,42.0,,,F,30.0,223,223.0,Z004,TB,,,1,,2000,,5300435757.0,0.0,1.0,56,10403000,ST,0
8662,01501400,700000,,0,,,,F,30.0,723,723.0,Z001,X3,40.0,1942.0,1,E20,3000,,5300461007.0,3.0,1.0,14,010401000,ST,0
8929,95163208UB,702399,,0,,,,F,30.0,228,228.0,Z001,Y4,,,1,E14,2000,,5300139025.0,3.0,1.0,42,10402000,ST,0
9183,34448800UB,702399,,0,,,,F,30.0,228,228.0,Z001,Y4,,,1,E14,2100,,5300091505.0,3.0,1.0,42,10402000,ST,0
465,00360084,701806,5500000352.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V4,480.0,7735.0,1,E98,2000,,5300174033.0,0.0,2.0,4,140100000,ST,0
9727,00310237UB,700020,,0,,,,F,,998,998.0,Z002,X4,,,1,E20,2000,,5300019382.0,0.0,1.0,999,140200000,ST,0
2833,00370041,701806,5500000549.0,10,4.0,4.0,60.0,F,,708,708.0,Z008,V5,52600.0,55946.0,100,E98,2100,,5300174062.0,0.0,2.0,4,140100000,ST,0
7777,60041175,701806,5500006147.0,10,140.0,140.0,168.0,F,,708,708.0,Z011,V5,2560.0,27343.0,100,E98,2100,,5300431438.0,0.0,2.0,140,60100000,ST,0
8660,60024598,701806,5500006422.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V4,13930.0,17406.0,100,E98,2100,,5300375542.0,0.0,2.0,49,140300000,ST,0
75,34885600UB,702399,,0,,,,F,30.0,228,228.0,Z001,Y2,,,1,E14,2000,,5300137497.0,3.0,1.0,42,10403000,ST,0
3349,00120360,708551,,0,,,,F,,208,208.0,Z010,Y6,220.0,29338.0,1,E14,3000,,5300149360.0,0.0,1.0,42,070400000,ST,0
8280,00370326,701806,5500000912.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V4,,,100,E98,2100,,5300174222.0,0.0,2.0,4,140300000,ST,0
7810,00370505,701806,5500000554.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V4,1400.0,3405.0,100,E98,2100,,5300174069.0,0.0,2.0,4,140100000,ST,0
5373,00370579,701806,5500000594.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V4,650.0,423.0,100,E98,2100,,5300174123.0,0.0,2.0,4,140100000,ST,0
6913,00360601,701806,5500003328.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V4,660.0,495.0,100,E98,2100,,5300385051.0,0.0,2.0,4,140100000,ST,0
7060,00100180,708551,5500003726.0,10,14.0,14.0,60.0,F,,708,708.0,Z010,Y5,3570.0,112187.0,1,E14,2000,,5300149383.0,0.0,1.0,60,70300000,ST,0
4661,00110179,708551,5500003743.0,10,14.0,14.0,60.0,F,,708,708.0,Z010,Y5,4860.0,96044.0,1,E14,2000,,5300149412.0,0.0,1.0,60,70300000,ST,0
2535,60033517,700000,,0,,,,F,30.0,723,723.0,Z001,V3,60.0,241938.0,1,E19,2100,,5300393550.0,3.0,1.0,56,010401000,ST,0
6824,00100011,708551,5500003774.0,10,14.0,14.0,60.0,F,,708,708.0,Z010,Y5,19460.0,52658.0,100,E14,2000,,5300149244.0,0.0,1.0,60,70300000,ST,0
6568,00100265,708551,5500003757.0,10,14.0,14.0,60.0,F,,708,708.0,Z010,Y5,8320.0,54496.0,100,E14,2000,,5300149296.0,0.0,1.0,60,70300000,ST,0
3231,35184200UB,704926,4600012419.0,20,42.0,,,F,30.0,223,223.0,Z001,Z1,,,1,,2100,,5300108981.0,3.0,1.0,42,10402000,ST,0
8529,00370173,701806,,0,,,,F,,264,264.0,Z011,V4,,,100,E98,2100,,5300533097.0,0.0,2.0,28,140100000,ST,0
4739,60083665,704926,5500008790.0,10,42.0,42.0,42.0,F,30.0,219,219.0,Z010,Z3,,,1,,2000,,5300519463.0,3.0,1.0,84,10402000,ST,0
2175,34560400UB,704926,4600007769.0,10,14.0,,,F,30.0,223,223.0,Z001,Z6,,,1,,2000,,5300151112.0,0.0,1.0,14,10403000,ST,0
8779,00360414,701806,5500001949.0,10,4.0,4.0,60.0,F,,708,708.0,Z008,V5,113420.0,167941.0,100,E98,2000,,5300358384.0,0.0,2.0,4,140100000,ST,0
340,23116300UB,702399,,0,,,,F,30.0,228,228.0,Z001,Y4,,,1,E14,2100,,5300089880.0,3.0,1.0,42,10400000,ST,0
7484,23116100,715408,4600012906.0,30,56.0,,,F,30.0,223,223.0,Z013,TB,,,1,,2000,,5300548431.0,3.0,1.0,56,10403000,ST,0
6666,00371219,701806,5500006902.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V4,4380.0,4508.0,100,E98,2000,,5300391395.0,0.0,2.0,14,140100000,ST,0
3689,00170043,701806,5500003316.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V5,22560.0,4665.0,1000,E98,3000,,5300174182.0,0.0,2.0,4,140300000,ST,0
142,23020400UB,704926,,0,,,,F,30.0,223,223.0,Z001,Z5,,,1,,2000,,5300085632.0,3.0,1.0,42,10403000,ST,0
2767,00370523,701806,5500002938.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V4,2290.0,826.0,100,E98,2000,,5300381894.0,0.0,2.0,4,140100000,ST,0
5409,00360066,701806,5500000449.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V4,190.0,1428.0,100,E98,2000,,5300174158.0,0.0,2.0,4,140100000,ST,0
260,24377800UB,700119,,0,,,,F,30.0,228,228.0,Z001,Y2,,,1,E15,2000,,5300165720.0,0.0,1.0,42,10403000,ST,0
1773,24941300UB,700119,,0,,,,F,30.0,228,228.0,Z001,Y2,,,1,E15,2000,,5300193339.0,3.0,1.0,42,10402000,ST,0
8057,28210500UB,704926,4600009210.0,100,42.0,,,F,30.0,223,223.0,Z001,Y2,,,1,E13,2100,,5300357260.0,3.0,1.0,42,10403000,ST,0
2158,00360025,701806,5500006816.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V5,500.0,545.0,100,E98,3000,,5300174186.0,0.0,2.0,13,140100000,ST,0
7533,31100500UB,700119,,0,,,,F,30.0,228,228.0,Z001,Y2,,,1,E15,2100,,5300061304.0,0.0,1.0,42,10403000,ST,0
2553,60015160,700119,,0,,,,F,30.0,228,228.0,Z001,Y2,,,1,E15,2100,,5300371584.0,3.0,1.0,42,10402000,ST,0
9657,60027495,708551,5500007195.0,10,14.0,14.0,60.0,F,,708,708.0,Z010,Y6,3100.0,80022.0,100,E14,2000,,5300382528.0,0.0,1.0,42,70300000,ST,0
5906,00360269,701806,5500000614.0,10,4.0,4.0,60.0,F,,708,708.0,Z008,V5,6730.0,50076.0,100,E98,2100,,5300174147.0,0.0,2.0,4,140100000,ST,0
2335,36020072,701098,,0,,,,F,,279,279.0,Z001,Y4,40.0,15535.0,1,E15,3000,,5300102998.0,3.0,1.0,35,020000000,ST,0
5976,00100068,708551,5500005278.0,10,14.0,14.0,60.0,F,,708,708.0,Z010,Y6,6090.0,28005.0,1,E14,2000,,5300149277.0,0.0,1.0,60,70300000,ST,0
6993,00110631,708551,5500003830.0,10,14.0,14.0,60.0,F,,708,708.0,Z010,Y6,1870.0,3648.0,100,E14,2000,,5300385651.0,0.0,1.0,60,70300000,ST,0
7480,00360107,701806,5500000522.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V5,22510.0,3215.0,100,E98,2100,,5300174013.0,0.0,2.0,4,140100000,ST,0
499,60024921,701806,5500002551.0,10,4.0,4.0,60.0,F,,708,708.0,Z008,V5,2450.0,65231.0,100,E98,2000,,5300375931.0,0.0,2.0,4,140200000,ST,0
7107,31105400UB,704926,,0,,,,F,30.0,223,223.0,Z005,Z1,,,1,,2100,,5300068239.0,3.0,1.0,42,10403000,ST,0
1514,34446300UB,709558,,0,,,,F,30.0,228,228.0,Z001,Y9,,,1,E13,2100,,5300499364.0,0.0,1.0,35,10402000,ST,0
7816,23283100UB,700000,4600005238.0,10,14.0,,,F,30.0,723,723.0,Z001,V3,,,1,E19,2100,,5300024352.0,3.0,1.0,14,10401000,ST,0
3594,30080811,701098,,0,,,,F,,279,279.0,Z001,Y4,10.0,129.0,1,E15,3000,,5300102149.0,0.0,1.0,35,010102000,ST,0
6650,30030848,701098,,0,,,,F,,279,279.0,Z001,Y4,40.0,360.0,1,E15,3000,,5300100954.0,0.0,1.0,35,010102000,ST,0
2958,30020816,701098,,0,,,,F,,279,279.0,Z001,Y4,160.0,1806.0,1,E15,3000,,5300100687.0,0.0,1.0,35,010102000,ST,0
5414,30020702,701098,,0,,,,F,,279,279.0,Z001,Y4,140.0,5637.0,1,E15,3000,,5300100855.0,0.0,1.0,35,010102000,ST,0
8747,25020943,701098,,0,,,,F,,279,279.0,Z001,Y4,30.0,3006.0,100,E15,3000,,5300165021.0,0.0,1.0,35,010102000,ST,0
8455,60020621,701098,,0,,,,F,,279,279.0,Z001,Y4,100.0,234.0,100,E15,3000,,5300375389.0,0.0,1.0,35,010102000,ST,0
7753,60016615,701098,,0,,,,F,,279,279.0,Z001,Y4,100.0,343.0,100,E15,3000,,5300368455.0,0.0,1.0,35,010102000,ST,0
5265,30021387,701098,,0,,,,F,,279,279.0,Z001,Y4,80.0,6768.0,100,E15,3000,,5300178315.0,0.0,1.0,35,010102000,ST,0
8500,30020353,701098,,0,,,,F,,279,279.0,Z001,Y4,80.0,552.0,100,E15,3000,,5300099847.0,0.0,1.0,35,010102000,ST,0
1148,36021053,701098,,0,,,,F,,279,279.0,Z001,Y4,10.0,646.0,100,E15,3000,,5300166998.0,0.0,1.0,35,010102000,ST,0
1011,00360164,701806,5500003344.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V4,960.0,13929.0,1,E98,2000,,5300385460.0,0.0,2.0,4,140100000,ST,0
1428,00400628,700464,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300019953.0,0.0,1.0,21,010301000,MM,0
7312,31070400UB,702399,,0,,,,F,30.0,228,228.0,Z001,Y4,,,1,E14,2100,,5300071892.0,0.0,1.0,42,10403000,ST,0
8645,21280400UB,702399,,0,,,,F,30.0,228,228.0,Z001,Y4,,,1,E14,2100,,5300121113.0,0.0,1.0,42,10403000,ST,0
4703,00100594,708551,5500003806.0,10,14.0,14.0,60.0,F,,708,708.0,Z010,Y6,110.0,9399.0,1,E14,2000,,5300357238.0,0.0,1.0,60,70300000,ST,0
1363,30020306,701098,,0,,,,F,,279,279.0,Z001,Y4,330.0,9717.0,100,E15,3000,,5300099821.0,0.0,1.0,35,010102000,ST,0
8933,60039831,701806,5500008456.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V5,190.0,829.0,100,E98,2100,,5300394417.0,0.0,2.0,14,140200000,ST,0
