Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,anomaly
24145403,3000,,0,0,0,0,F,42.0,228,228.0,Z001,Z1,0,0,100,,2100,2100.0,5300530225.0,0.0,1,3,60200000,ST,1
36021002,2000,,0,0,0,0,F,40.0,231,231.0,Z008,Y4,0,0,100,E14,2100,3000.0,5300289716.0,0.0,1,28,100202000,ST,1
21326202,2000,,0,0,0,0,F,40.0,231,231.0,Z008,Y4,0,0,1,E14,2100,3000.0,5300228168.0,0.0,1,3,100201000,ST,1
60047067,2000,,0,0,0,0,F,40.0,231,231.0,Z001,Z7,0,0,100,,2100,3000.0,5300410773.0,0.0,1,2,100202000,ST,1
04008055,706693,,0,0,0,0,F,40.0,208,208.0,Z001,Z1,0,0,100,,2100,,,,1,3,100202000,ST,1
00347596,711970,,0,0,0,0,F,40.0,215,215.0,Z001,Y2,0,0,1,E13,2100,,,,1,3,080300000,ST,1
00341661,715521,,0,0,0,0,F,40.0,215,215.0,Z001,Y4,0,0,1,E13,2100,,,,1,3,080300000,ST,1
00346525,715521,,0,0,0,0,F,40.0,215,215.0,Z001,Y4,0,0,1,E13,2100,,,,1,3,080300000,ST,1
00347596,711970,,0,0,0,0,F,40.0,215,215.0,Z001,Y2,0,0,1,E13,2100,,5300194048.0,0.0,1,3,080300000,ST,1
00341661,715521,,0,0,0,0,F,40.0,215,215.0,Z001,Y4,0,0,1,E13,2100,,5300448626.0,0.0,1,3,080300000,ST,1
00346525,715521,,0,0,0,0,F,40.0,215,215.0,Z001,Y4,0,0,1,E13,2100,,5300448640.0,0.0,1,3,080300000,ST,1
36020778,701710,,0,0,0,0,F,42.0,231,231.0,Z008,Y4,0,0,1,E14,2100,,,,1,14,100000000,ST,1
24146910,702225,,0,0,0,0,F,40.0,213,213.0,Z008,Z1,0,0,1,,2100,,5300168983.0,0.0,1,56,040100000,ST,1
24146910,702225,,0,0,0,0,F,40.0,213,213.0,Z008,Z1,0,0,1,,2100,,5300168983.0,3.0,1,56,040100000,ST,1
04005887,702686,,0,0,0,0,F,40.0,215,215.0,Z003,Y6,0,0,1,E13,2100,,,,1,84,080100000,ST,1
04005189,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,1
04005190,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,1
04005191,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,1
04005193,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,140700000,ST,1
04005194,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,1
04005196,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,1
04005197,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,1
04005198,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,1
04005199,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,1
04005202,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,1
04005206,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,1
04005209,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,1
04005210,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,1
04005211,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,1
04005212,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,1
04005214,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,1
04005216,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,1
04005227,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,1
04005228,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,1
04005231,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,140100000,ST,1
04005234,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,1
04005235,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,1
04005255,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,1
04005257,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,1
04005258,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,140700000,ST,1
04005260,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,1
04005262,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,1
04005263,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,1
04005264,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,140100000,ST,1
04005265,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,090300000,ST,1
04005266,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,1
04005267,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,140000000,ST,1
04005268,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,140100000,ST,1
04005270,706943,,0,0,0,0,F,,208,208.0,Z001,Z1,0,0,1000,,2100,,,,1,999,130000000,ST,1
21276202,701710,,0,0,0,0,F,,231,231.0,Z008,Y4,0,0,100,E14,2000,,5300136657.0,0.0,1,71,100201000,ST,1
00345273,701710,,0,0,0,0,F,,231,231.0,Z008,Y4,0,0,100,E14,2100,,5300072172.0,0.0,1,35,100201000,ST,1
00345274,701710,,0,0,0,0,F,,231,231.0,Z008,Y4,0,0,100,E14,2100,,5300072173.0,0.0,1,35,100201000,ST,1
00345275,701710,,0,0,0,0,F,,231,231.0,Z008,Y4,0,0,100,E14,2100,,5300072174.0,0.0,1,36,100201000,ST,1
00200256,701710,,0,0,0,0,F,,231,231.0,Z008,Y4,0,0,100,E14,2100,,5300119174.0,0.0,1,36,050500000,ST,1
23752301,701710,,0,0,0,0,F,,231,231.0,Z008,Y4,0,0,1,E14,2100,,5300186513.0,0.0,1,42,100100000,ST,1
23646101,701710,,0,0,0,0,F,,231,231.0,Z008,Y4,0,0,1,E14,2100,,5300186515.0,0.0,1,42,100100000,ST,1
04000463,701710,,0,0,0,0,F,,231,231.0,Z008,Y4,0,0,1,E14,2100,,5300170092.0,0.0,1,49,100201000,ST,1
60092683,715200,,0,0,0,0,F,,231,231.0,Z001,Z1,0,0,1,,2100,,5300535760.0,3.0,1,999,550100000,ST,1
60092684,715200,,0,0,0,0,F,,231,231.0,Z001,Z1,0,0,1,,2100,,5300535759.0,3.0,1,999,550100000,ST,1
60100591,715200,,0,0,0,0,F,,231,231.0,Z001,Z1,0,0,1,,2100,,5300535762.0,3.0,1,999,550100000,ST,1
60096593,714198,,0,0,0,0,F,,231,231.0,Z001,Z1,0,0,1,,2100,,5300499504.0,0.0,1,999,040100000,ST,1
60086488,714198,,0,0,0,0,F,,231,231.0,Z001,Z1,0,0,1,,2100,,5300499505.0,0.0,1,999,040100000,ST,1
60086484,714198,,0,0,0,0,F,,231,231.0,Z001,Z1,0,0,1,,2100,,5300499507.0,0.0,1,999,040100000,ST,1
60086486,714198,,0,0,0,0,F,,231,231.0,Z001,Z1,0,0,1,,2100,,5300499506.0,0.0,1,999,040100000,ST,1
00345229,708987,,0,0,0,0,F,40.0,215,215.0,Z006,Z1,0,0,1,,2100,,5300151676.0,3.0,2,3,080100000,ST,1
00345229,708987,,0,0,0,0,F,40.0,215,215.0,Z006,Z1,0,0,1,,2100,,5300151675.0,0.0,2,3,080100000,ST,1
00345229,708987,,0,0,0,0,F,40.0,215,215.0,Z006,Z1,0,0,1,,2100,,5300151676.0,0.0,2,3,080100000,ST,1
00290454,701710,,0,0,0,0,F,,231,231.0,Z008,Y4,0,0,100,E14,2100,,5300141061.0,0.0,1,58,100201000,M,1
04004297,701710,,0,0,0,0,F,,231,231.0,Z008,Y4,0,0,1,E14,2100,,5300107727.0,0.0,1,15,010401000,M,1
60029640,2000,,0,0,0,0,F,42.0,215,215.0,Z001,Y4,0,0,100,E13,2100,2100.0,5300504084.0,0.0,1,3,080100000,M,1
60029640,2000,,0,0,0,0,F,42.0,215,215.0,Z001,Y4,0,0,100,E13,2100,3000.0,5300504084.0,0.0,1,3,080100000,M,1
00200095,2000,,0,0,0,0,F,40.0,231,231.0,Z012,Y9,0,0,1000,E14,3000,3000.0,5300364259.0,0.0,1,42,100201000,MM,1
00200188,2000,,0,0,0,0,F,40.0,231,231.0,Z012,Z9,0,0,1000,,3000,3000.0,5300204410.0,0.0,1,56,100201000,MM,1
04004297,701710,,0,0,0,0,F,,231,231.0,Z008,Y4,0,0,1,E14,2000,,5300107727.0,0.0,1,15,010401000,M,1
00290454,701710,,0,0,0,0,F,,231,231.0,Z008,Y4,0,0,100,E14,2000,,5300141061.0,0.0,1,58,100201000,M,1
28180513,2100,,0,0,0,0,F,41.0,228,228.0,Z010,Z7,0,0,100,,2000,2000.0,5300198875.0,0.0,0,3,060100000,ST,1
28180513,2100,,0,0,0,0,F,41.0,228,228.0,Z010,Z7,0,0,100,,2000,3000.0,5300198875.0,0.0,0,3,060100000,ST,1
60047779,2100,,0,0,0,0,F,41.0,203,203.0,Z003,Y9,0,0,1,E11,2800,2000.0,5300504171.0,0.0,1,2,050200000,ST,1
60047779,2100,,0,0,0,0,F,41.0,203,203.0,Z003,Y9,0,0,1,E11,2800,2700.0,5300504171.0,0.0,1,2,050200000,ST,1
60047779,2100,,0,0,0,0,F,41.0,203,203.0,Z003,Y9,0,0,1,E11,2800,3000.0,5300504171.0,0.0,1,2,050200000,ST,1
33643200,704333,,0,0,0,0,F,40.0,228,228.0,Z001,Z1,0,0,1,,2100,,5300095910.0,3.0,1,3,010401000,ST,1
33652403,704333,,0,0,0,0,F,40.0,228,228.0,Z001,Z1,0,0,1,,2100,,5300070996.0,3.0,1,3,060100000,ST,1
23465000,704333,,0,0,0,0,F,40.0,228,228.0,Z001,Z1,0,0,1,,2100,,5300062494.0,3.0,1,3,140100000,ST,1
24366900,715408,,0,0,0,0,F,,223,223.0,Z004,TB,0,0,1,,2000,,,,1,56,010403000,ST,1
24366900,715408,,0,0,0,0,F,,223,223.0,Z004,TB,0,0,1,,2000,,5300436305.0,0.0,1,56,010403000,ST,1
34686700,715408,,0,0,0,0,F,30.0,223,223.0,Z004,TB,0,0,1,,2000,,,,1,56,010403000,ST,1
34686700,715408,,0,0,0,0,F,30.0,223,223.0,Z004,TB,0,0,1,,2000,,5300436391.0,3.0,1,56,010403000,ST,1
28147100,3000,,0,0,0,0,F,42.0,228,228.0,Z001,Z1,0,0,100,,2000,2000.0,5300529235.0,0.0,1,1,10401000,ST,1
28147000,3000,,0,0,0,0,F,42.0,228,228.0,Z001,Z1,0,0,100,,2000,2000.0,5300417151.0,0.0,1,1,10401000,ST,1
34060852,3000,,0,0,0,0,F,42.0,203,203.0,Z001,Y4,0,0,1,E15,2000,2000.0,5300529239.0,0.0,1,210,30202000,ST,1
34063504,2000,,0,0,0,0,F,40.0,202,202.0,Z003,Z5,0,0,1,,2700,,,,1,7,40100000,ST,1
00401934,3000,,0,0,0,0,F,42.0,203,203.0,Z012,Z2,0,0,1,,2000,2000.0,5300410117.0,0.0,10,1,131000000,ST,1
00401934,3000,,0,0,0,0,F,42.0,203,203.0,Z012,Z2,0,0,1,,2000,2100.0,5300410117.0,0.0,10,1,131000000,ST,1
00340695,2000,,0,0,0,0,F,42.0,215,215.0,Z006,Y4,0,0,1,E11,2100,2100.0,5300209998.0,0.0,10,3,080300000,ST,1
00340695,2000,,0,0,0,0,F,42.0,215,215.0,Z006,Y4,0,0,1,E11,2100,3000.0,5300209998.0,0.0,10,3,080300000,ST,1
60039416,2000,,0,0,0,0,F,40.0,228,228.0,Z004,Z1,0,0,1,,2800,3000.0,5300542498.0,0.0,0,42,070500000,ST,1
60100591,2000,,0,0,0,0,F,40.0,231,231.0,Z012,Z5,0,0,1,,3000,3000.0,5300544585.0,0.0,0,28,550100000,ST,1
00341062,2000,,0,0,0,0,F,42.0,215,215.0,Z006,Y4,0,0,1,E11,2100,2100.0,5300210320.0,0.0,10,3,080400000,ST,1
00341062,2000,,0,0,0,0,F,42.0,215,215.0,Z006,Y4,0,0,1,E11,2100,3000.0,5300210320.0,0.0,10,3,080400000,ST,1
60039415,700722,,0,0,0,0,F,40.0,228,228.0,Z004,Z1,0,0,1,,2800,,5300542496.0,0.0,0,42,070500000,ST,1
9001198,703564,,0,0,0,0,F,,203,203.0,Z002,Z2,0,0,1,,2000,,5300053372.0,0.0,20,84,090100000,ST,1
00310242,700095,,0,0,0,0,F,,203,203.0,Z001,Z1,0,0,1,,2000,,5300019408.0,0.0,20,56,030202000,ST,1
01242681,701710,,0,0,0,0,F,40.0,231,231.0,Z008,Y4,0,0,100,E14,2100,,5300144855.0,0.0,1,2,100202000,ST,1
00380673,707605,,0,0,0,0,F,41.0,215,215.0,Z001,V4,0,0,100,E98,2000,,5300503719.0,0.0,1,2,580600000,ST,1
00200256,701710,,0,0,0,0,F,40.0,231,231.0,Z008,Y4,0,0,100,E14,3000,,5300119174.0,0.0,1,36,050500000,ST,1
33325023,700584,,0,0,0,0,F,40.0,203,203.0,Z001,Z1,0,0,100,,2100,,,,1,3,070500000,ST,1
00345192,711970,,0,0,0,0,F,30.0,215,215.0,Z001,Y2,0,0,1,E13,2100,,,,1,84,080900000,ST,1
36020778,701710,,0,0,0,0,F,42.0,231,231.0,Z012,Y4,0,0,1,E14,2000,,,,1,1,100000000,ST,1
00200071,709641,,0,0,0,0,F,42.0,215,215.0,Z012,Y4,0,0,1,E13,2000,,5300167007.0,0.0,1,1,100100000,ST,1
00345069,711970,,0,0,0,0,F,40.0,215,215.0,Z003,Y2,0,0,1,E13,2100,,5300194085.0,0.0,1,3,080300000,ST,1
00345096,711970,,0,0,0,0,F,42.0,215,215.0,Z001,Y2,0,0,1,E13,2100,,5300193824.0,0.0,1,84,080600000,ST,1
00345069,711970,,0,0,0,0,F,40.0,215,215.0,Z003,Y2,0,0,1,E13,2100,,,,1,3,080300000,ST,1
00345317,708987,,0,0,0,0,F,42.0,215,215.0,Z012,Y2,0,0,1,E13,2000,,5300151701.0,0.0,1,1,080100000,ST,1
24617400,702225,,0,0,0,0,F,30.0,213,213.0,Z004,TB,0,0,1,,2000,,5300169500.0,3.0,1,63,550100000,ST,1
24617400,702225,,0,0,0,0,F,30.0,213,213.0,Z004,TB,0,0,1,,2000,,5300169500.0,0.0,1,63,550100000,ST,1
95174061,702225,,0,0,0,0,F,30.0,213,213.0,Z004,TB,0,0,1,,2100,,5300153568.0,3.0,1,63,550100000,ST,1
23224000,702225,,0,0,0,0,F,30.0,213,213.0,Z004,TB,0,0,1,,2100,,5300163369.0,0.0,1,63,550100000,ST,1
23224000,702225,,0,0,0,0,F,30.0,213,213.0,Z004,TB,0,0,1,,2100,,5300163369.0,3.0,1,63,550100000,ST,1
24119300,702225,,0,0,0,0,F,30.0,213,213.0,Z004,TB,0,0,1,,2000,,5300080846.0,3.0,1,63,550100000,ST,1
24140300,702225,,0,0,0,0,F,40.0,213,213.0,Z004,TB,0,0,1,,2100,,5300080847.0,3.0,1,63,550100000,ST,1
24246310,700415,,0,0,0,0,F,40.0,215,215.0,Z001,Z2,0,0,1,,2100,,5300139638.0,0.0,1,84,550100000,ST,1
24246310,700415,,0,0,0,0,F,40.0,215,215.0,Z001,Z2,0,0,1,,2100,,5300139638.0,3.0,1,84,550100000,ST,1
23245600,702225,,0,0,0,0,F,30.0,213,213.0,Z004,TB,0,0,1,,2100,,5300021937.0,3.0,1,63,550100000,ST,1
24110600,702225,,0,0,0,0,F,40.0,213,213.0,Z004,TB,0,0,1,,2100,,5300077502.0,0.0,1,63,550100000,ST,1
24110600,702225,,0,0,0,0,F,40.0,213,213.0,Z004,TB,0,0,1,,2100,,5300077502.0,3.0,1,63,550100000,ST,1
23921500,702225,,0,0,0,0,F,30.0,213,213.0,Z004,TB,0,0,1,,2000,,5300390790.0,3.0,1,63,550100000,ST,1
33440400,702225,,0,0,0,0,F,30.0,213,213.0,Z004,TB,0,0,1,,2000,,5300157342.0,3.0,1,63,550100000,ST,1
00401670,703555,,0,0,0,0,F,42.0,203,203.0,Z001,Z1,0,0,1,,2100,,5300020130.0,0.0,1,3,140700000,ST,1
23064101,701043,,0,0,0,0,F,42.0,228,228.0,Z001,Z1,0,0,1,,2100,,5300040290.0,0.0,1,3,060100000,ST,1
00260043,3000,,0,0,0,0,F,42.0,203,203.0,Z012,Z5,0,0,1,,2000,2000.0,5300528985.0,0.0,1,1,090300000,ST,1
33611003,3000,,0,0,0,0,F,42.0,203,203.0,Z001,Y4,0,0,1,E15,2000,2000.0,5300410809.0,0.0,1,210,030201000,ST,1
23056300,3000,,0,0,0,0,F,42.0,213,213.0,Z012,Z1,0,0,1,,2100,2000.0,5300529201.0,0.0,1,3,010501000,ST,1
23064101,3000,,0,0,0,0,F,42.0,228,228.0,Z012,Z1,0,0,1,,2000,2000.0,5300467579.0,0.0,1,1,060100000,ST,1
23044200,3000,,0,0,0,0,F,42.0,213,213.0,Z008,Z7,0,0,100,,2000,2000.0,5300362976.0,0.0,1,3,010102000,ST,1
24147501,3000,,0,0,0,0,F,42.0,213,213.0,Z008,Z4,0,0,100,,2000,2000.0,5300404563.0,0.0,1,7,010102000,ST,1
24245700,3000,,0,0,0,0,F,42.0,213,213.0,Z012,Z3,0,0,1,,2000,2000.0,5300529228.0,0.0,1,1,010401000,ST,1
23056300,3000,,0,0,0,0,F,42.0,213,213.0,Z012,Z1,0,0,1,,2100,2100.0,5300529201.0,0.0,1,3,010501000,ST,1
23064302,3000,,0,0,0,0,F,42.0,228,228.0,Z001,Z4,0,0,1,,2100,2100.0,5300530224.0,0.0,1,3,060100000,ST,1
00310247,3000,,0,0,0,0,F,42.0,203,203.0,Z003,Z5,0,0,1,,2100,2100.0,5300528991.0,0.0,1,3,030202000,ST,1
23044200,3000,,0,0,0,0,F,42.0,213,213.0,Z008,Z7,0,0,100,,2000,2100.0,5300362976.0,0.0,1,3,010102000,ST,1
23243801,3000,,0,0,0,0,F,40.0,202,202.0,Z001,Z4,0,0,100,,2100,,,,1,2,010102000,ST,1
00280159,3000,,0,0,0,0,F,42.0,203,203.0,Z002,Y9,0,0,1,E11,2100,2100.0,5300496180.0,0.0,1,3,131500000,ST,1
60022091,2000,,0,0,0,0,F,40.0,208,208.0,Z008,Z2,0,0,100,,3000,,,,1,56,140100000,ST,1
60012551,2000,,0,0,0,0,F,42.0,215,215.0,Z001,Y4,0,0,1,E13,2100,2100.0,5300359068.0,0.0,1,3,080100000,ST,1
60012551,2000,,0,0,0,0,F,42.0,215,215.0,Z001,Y4,0,0,1,E13,2100,3000.0,5300359068.0,0.0,1,3,080100000,ST,1
00200256,2000,,0,0,0,0,F,40.0,231,231.0,Z008,Y4,0,0,100,E14,3000,3000.0,5300204448.0,0.0,1,36,50500000,ST,1
586065,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Z1,0,0,1,,3000,3000.0,5300294294.0,0.0,1,28,540300000,ST,1
00422296,701263,,0,0,0,0,F,,223,223.0,Z001,Z1,0,0,100,,2000,,,,1,42,010103000,ST,1
23090400,702225,,0,0,0,0,F,,213,213.0,Z004,TB,0,0,100,,2000,,5300170175.0,0.0,1,63,550100000,ST,1
23090400,702225,,0,0,0,0,F,,213,213.0,Z004,TB,0,0,100,,2000,,5300170175.0,3.0,1,63,550100000,ST,1
00300531,700368,,0,0,0,0,F,,203,203.0,Z010,Y9,0,0,100,E11,2000,,,,1,365,130700000,ST,1
60045015,2000,,0,0,0,0,F,,215,215.0,Z012,Z1,0,0,1,,3000,,,,1,999,080100000,ST,1
60045019,2000,,0,0,0,0,F,,215,215.0,Z012,Z1,0,0,1,,3000,,,,1,999,080100000,ST,1
00341661,715521,,0,0,0,0,F,,215,215.0,Z001,Y3,0,0,1,E13,2000,,,,1,56,080300000,ST,1
00341661,715521,,0,0,0,0,F,,215,215.0,Z001,Y3,0,0,1,E13,2000,,5300448626.0,0.0,1,56,080300000,ST,1
23283200,702225,,0,0,0,0,F,,213,213.0,Z004,TB,0,0,1,,2100,,5300024364.0,0.0,1,63,550100000,ST,1
23283200,702225,,0,0,0,0,F,,213,213.0,Z004,TB,0,0,1,,2100,,5300024364.0,3.0,1,63,550100000,ST,1
95194467,702225,,0,0,0,0,F,,213,213.0,Z004,TB,0,0,1,,2000,,5300194753.0,3.0,1,63,550100000,ST,1
95194467,702225,,0,0,0,0,F,,213,213.0,Z004,TB,0,0,1,,2000,,5300194753.0,0.0,1,63,550100000,ST,1
00341324,715521,,0,0,0,0,F,,215,215.0,Z001,Y3,0,0,1,E13,3000,,,,1,84,080300000,ST,1
00341324,715521,,0,0,0,0,F,,215,215.0,Z001,Y3,0,0,1,E13,3000,,5300448630.0,0.0,1,84,080300000,ST,1
36020498,701098,,0,0,0,0,F,,213,213.0,Z001,Z1,0,0,1,,2000,,,,1,42,010502000,ST,1
01150211,701263,,0,0,0,0,F,,223,223.0,Z001,Z1,0,0,1,,2000,,,,1,28,010102000,ST,1
00400915,702335,,0,0,0,0,F,,213,213.0,Z001,Z4,15000,6,1000,,2000,,5300019670.0,0.0,1,56,020000000,MM,1
24736550,704837,,0,0,0,0,F,30.0,213,213.0,Z001,Z4,1510,1072402,1,,2000,,5300168539.0,3.0,2,14,010401000,ST,1
34060836,2100,,0,0,0,0,F,41.0,203,203.0,Z003,Y5,1790,845095,1,E11,2000,2000.0,5300199186.0,0.0,2,2,030201000,ST,1
34060836,2100,,0,0,0,0,F,41.0,203,203.0,Z003,Y5,1790,845095,1,E11,2000,2700.0,5300199186.0,0.0,2,2,030201000,ST,1
34060836,2100,,0,0,0,0,F,41.0,203,203.0,Z003,Y5,1790,845095,1,E11,2000,3000.0,5300199186.0,0.0,2,2,030201000,ST,1
00170203,2100,,0,0,0,0,F,41.0,203,203.0,Z011,Z4,2150,23849,1,,2000,2000.0,5300196916.0,0.0,2,3,050100000,ST,1
00170203,2100,,0,0,0,0,F,41.0,203,203.0,Z011,Z4,2150,23849,1,,2000,3000.0,5300196916.0,0.0,2,3,050100000,ST,1
37012101,702855,,0,0,0,0,F,,203,203.0,Z010,Y5,3500,1767469,1,E13,2100,,5300196249.0,0.0,2,210,030201000,ST,1
00170195,700020,,0,0,0,0,F,,208,208.0,Z011,X4,17660,24598,100,E20,2100,,5300432158.0,0.0,1,21,140700000,ST,1
34441105,2000,,0,0,0,0,F,40.0,213,213.0,Z012,Y4,40,2573,100,E13,3000,2100.0,5300279786.0,0.0,1,112,060100000,ST,1
34441105,2000,,0,0,0,0,F,40.0,213,213.0,Z012,Y4,40,2573,100,E13,3000,2700.0,5300279786.0,0.0,1,112,060100000,ST,1
34441105,2000,,0,0,0,0,F,40.0,213,213.0,Z012,Y4,40,2573,100,E13,3000,3000.0,5300279786.0,0.0,1,112,060100000,ST,1
00311327,3000,,0,0,0,0,F,42.0,203,203.0,Z003,Z5,310,24598,100,,2100,,5300378257.0,0.0,1,182,030202000,ST,1
00311327,3000,,0,0,0,0,F,42.0,203,203.0,Z003,Z5,310,24598,100,,2100,2000.0,5300378257.0,0.0,1,182,030202000,ST,1
00311327,3000,,0,0,0,0,F,42.0,203,203.0,Z003,Z5,310,24598,100,,2100,2100.0,5300378257.0,0.0,1,182,030202000,ST,1
60069261,3000,,0,0,0,0,F,42.0,208,208.0,Z012,Z2,53210,205235,100,,2000,,,,1,1,140200000,ST,1
24152200,3000,,0,0,0,0,F,42.0,213,213.0,Z008,Z2,110,3025,1,,2000,2000.0,5300459588.0,0.0,1,42,010401000,ST,1
28188200,2000,,0,0,0,0,F,42.0,213,213.0,Z008,Z7,20,4212,1,,2100,2100.0,5300263650.0,0.0,1,2,010401000,ST,1
28188200,2000,,0,0,0,0,F,42.0,213,213.0,Z008,Z7,20,4212,1,,2100,3000.0,5300263650.0,0.0,1,2,010401000,ST,1
00347015,702282,,0,0,0,0,F,30.0,215,215.0,Z001,Z3,11490,14038482,1,,2000,,5300427444.0,3.0,1,5,080800000,ST,1
